	序号NO.	地区REGION	产品类别CATEGORY	在华注册编号CHINA REG. NO.	所在地区注册编号OVERSEAS REG. NO.	企业名称NAME	生产场所地址ADDRESS	注册日期REG. DATE	注册有效期REG. EXPIRE DATE	状态STATE
1988	1989	中国台湾	豆基婴幼儿配方食品	CTWN15012112100014	A-154681003-00000-5	暖暖企業有限公司	台北市中山區長安東路2段81號12樓之2	2021-12-10	2026-12-09	有效
1989	1990	中国台湾	豆基婴幼儿配方食品	CTWN15012112100010	A-129048989-00000-7	豐華生物科技股份有限公司	台南市新市區國際路17號4樓之2	2021-12-10	2026-12-09	暂停进口
1990	1991	中国台湾	豆基婴幼儿配方食品	CTWN15012112100016	A-179995261-00000-6	台灣真弓通商股份有限公司	台北市內湖區內湖路1段91巷35弄40號1樓	2021-12-10	2026-12-09	暂停进口
1991	1992	中国台湾	豆基婴幼儿配方食品	CTWN15012112100017	A-180270835-00000-1	源昶國際股份有限公司	台北市松山區復興北路333號7樓之4	2021-12-10	2026-12-09	暂停进口
1992	1993	中国台湾	豆基婴幼儿配方食品	CTWN15012112100018	A-180679869-00000-1	誠善天下企業有限公司	台北市大安區復興南路1段103號4樓之7	2021-12-10	2026-12-09	暂停进口
1993	1994	中国台湾	豆基婴幼儿配方食品	CTWN15012112100019	A-197435446-00000-0	赫伯爾生物科技股份有限公司	台北市中山區松江路330巷12之3號4樓	2021-12-10	2026-12-09	暂停进口
1994	1995	中国台湾	豆基婴幼儿配方食品	CTWN15012112100026	B-151390804-00000-9	明通化學製藥股份有限公司	台中市南區復興路二段120號	2021-12-10	2026-12-09	有效
1995	1996	中国台湾	豆基婴幼儿配方食品	CTWN15012112100021	B-112981696-00000-1	晉謄國際有限公司	台中市西屯區中科路1669號	2021-12-10	2026-12-09	暂停进口
1996	1997	中国台湾	豆基婴幼儿配方食品	CTWN15012112100023	B-124377005-00001-8	捷康生技有限公司	台中市大雅區振興三路	2021-12-10	2026-12-09	暂停进口
1997	1998	中国台湾	豆基婴幼儿配方食品	CTWN15012112100024	B-128755865-00000-5	鼎珈生活事業股份有限公司	台中市烏日區興祥街42巷32號1樓	2021-12-10	2026-12-09	暂停进口
1998	1999	中国台湾	豆基婴幼儿配方食品	CTWN15012112100025	B-150810737-00000-0	華桂長源食品有限公司	台中市南屯區寶山東二街8號10樓之2	2021-12-10	2026-12-09	有效
1999	2000	中国台湾	豆基婴幼儿配方食品	CTWN15012112100020	A-200195886-00000-6	任性一下股份有限公司	台北市中山區建國北路一段41號11樓之一	2021-12-10	2026-12-09	暂停进口
2000	2001	中国台湾	豆基婴幼儿配方食品	CTWN15012112100027	B-152930667-00000-7	三風食品工業股份有限公司	台中市大雅區大楓里民富街114號	2021-12-10	2026-12-09	有效
2001	2002	中国台湾	豆基婴幼儿配方食品	CTWN15012112100028	B-153805060-00000-6	新富翔食品工業有限公司	台中市東區東信里振興路412巷76號	2021-12-10	2026-12-09	暂停进口
2002	2003	中国台湾	豆基婴幼儿配方食品	CTWN15012112100029	B-154263774-00000-7	台灣達欣園有限公司	台中市西屯區文心路二段566之1號3樓之1	2021-12-10	2026-12-09	暂停进口
2003	2004	中国台湾	豆基婴幼儿配方食品	CTWN15012112100030	B-154584065-00000-6	泰運生技有限公司	台中市中區繼光里10鄰民權路58號	2021-12-10	2026-12-09	暂停进口
2004	2005	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100015	A-154683558-00000-2	宇耕生物科技有限公司	台北市信義區忠孝東路5段669號6樓	2021-12-10	2026-12-09	暂停进口
2005	2006	中国台湾	豆基婴幼儿配方食品	CTWN15012112100032	B-155337605-00000-3	臺中市農會	台中市豐原區田心里中山路２３１號	2021-12-10	2026-12-09	暂停进口
2006	2007	中国台湾	豆基婴幼儿配方食品	CTWN15012112100033	B-156676194-00001-4	華元食品股份有限公司第二廠	台中市梧棲區草湳里自立二街128號	2021-12-10	2026-12-09	暂停进口
2007	2008	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100013	A-154158891-00000-9	品茂國際股份有限公司	台北市松山區復興北路333號7樓之4	2021-12-10	2026-12-09	暂停进口
2008	2009	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100014	A-154681003-00000-5	暖暖企業有限公司	台北市中山區長安東路2段81號12樓之2	2021-12-10	2026-12-09	暂停进口
2009	2010	中国台湾	豆基婴幼儿配方食品	CTWN15012112100031	B-154910667-00000-7	金合麥食品股份有限公司	台中市神岡區社南里中山路667巷3號	2021-12-10	2026-12-09	暂停进口
2010	2011	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100017	A-180270835-00000-1	源昶國際股份有限公司	台北市松山區復興北路333號7樓之4	2021-12-10	2026-12-09	暂停进口
2011	2012	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100018	A-180679869-00000-1	誠善天下企業有限公司	台北市大安區復興南路1段103號4樓之7	2021-12-10	2026-12-09	暂停进口
2012	2013	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100019	A-197435446-00000-0	赫伯爾生物科技股份有限公司	台北市中山區松江路330巷12之3號4樓	2021-12-10	2026-12-09	暂停进口
2013	2014	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100020	A-200195886-00000-6	任性一下股份有限公司	台北市中山區建國北路一段41號11樓之一	2021-12-10	2026-12-09	暂停进口
2014	2015	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100027	B-152930667-00000-7	三風食品工業股份有限公司	台中市大雅區大楓里民富街114號	2021-12-10	2026-12-09	有效
2015	2016	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100023	B-124377005-00001-8	捷康生技有限公司	台中市大雅區振興三路	2021-12-10	2026-12-09	暂停进口
2016	2017	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100024	B-128755865-00000-5	鼎珈生活事業股份有限公司	台中市烏日區興祥街42巷32號1樓	2021-12-10	2026-12-09	暂停进口
2017	2018	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100025	B-150810737-00000-0	華桂長源食品有限公司	台中市南屯區寶山東二街8號10樓之2	2021-12-10	2026-12-09	有效
2018	2019	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100026	B-151390804-00000-9	明通化學製藥股份有限公司	台中市南區復興路二段120號	2021-12-10	2026-12-09	有效
2019	2020	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100022	B-116264386-00013-9	有幾園生物科技股份有限公司	台中市梧棲區草湳里港埠路一段537號	2021-12-10	2026-12-09	暂停进口
2020	2021	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100028	B-153805060-00000-6	新富翔食品工業有限公司	台中市東區東信里振興路412巷76號	2021-12-10	2026-12-09	暂停进口
2021	2022	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100029	B-154263774-00000-7	台灣達欣園有限公司	台中市西屯區文心路二段566之1號3樓之1	2021-12-10	2026-12-09	暂停进口
2022	2023	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100030	B-154584065-00000-6	泰運生技有限公司	台中市中區繼光里10鄰民權路58號	2021-12-10	2026-12-09	暂停进口
2023	2024	中国台湾	豆基婴幼儿配方食品	CTWN15012112100067	F-127384444-00000-9	盈全國際開發有限公司	新北市永和區中正路556號	2021-12-10	2026-12-09	暂停进口
2024	2025	中国台湾	豆基婴幼儿配方食品	CTWN15012112100112	T-189766196-00000-9	芳盈生物科技股份有限公司	屏東縣鹽埔鄉新二村彭厝路51-3號	2021-12-10	2026-12-09	暂停进口
2025	2026	中国台湾	特殊医学用途配方食品	CTWN15022112100079	F-191034556-00001-7	昌農有限公司	新北市土城區日和里中華路1段152號4樓	2021-12-10	2026-12-09	有效
2026	2027	中国台湾	豆基婴幼儿配方食品	CTWN15012112100083	H-154777730-00000-5	康沅國際股份有限公司	桃園市桃園區江南二街35號9樓	2021-12-10	2026-12-09	有效
2027	2028	中国台湾	特殊医学用途配方食品	CTWN15022112100028	B-153805060-00000-6	新富翔食品工業有限公司	台中市東區東信里振興路412巷76號	2021-12-10	2026-12-09	暂停进口
2028	2029	中国台湾	未烘焙的咖啡豆	CTWN14012112100016	B-124437670-00065-3	歐客佬國際有限公司-崇德廠-1	台中市北屯區崇德路三段891-6號	2021-12-10	2026-12-09	暂停进口
2029	2030	中国台湾	特殊医学用途配方食品	CTWN15022112100053	E-117109243-00000-9	聖竑企業行	高雄市三民區遼北街145號1樓	2021-12-10	2026-12-09	暂停进口
2030	2031	中国台湾	特殊医学用途配方食品	CTWN15022112100010	A-129048989-00000-7	豐華生物科技股份有限公司	台南市新市區國際路17號4樓之2	2021-12-10	2026-12-09	暂停进口
2031	2032	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100093	N-116524973-00001-9	蒙特利生物科技股份有限公司	彰化縣溪州鄉溪州村俊智路１２３、２３７號	2021-12-10	2026-12-09	暂停进口
2032	2033	中国台湾	豆基婴幼儿配方食品	CTWN15012112100001	A-112520688-00000-0	河洛企業股份有限公司	台北市中山區德惠街16之5號5樓	2021-12-10	2026-12-09	暂停进口
2033	2034	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100031	B-154910667-00000-7	金合麥食品股份有限公司	台中市神岡區社南里中山路667巷3號	2021-12-10	2026-12-09	暂停进口
2034	2035	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100037	B-183233568-00000-7	恩億寰宇實業有限公司	台中市西區民龍里臺灣大道二段239號13樓	2021-12-10	2026-12-09	暂停进口
2035	2036	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100033	B-156676194-00001-4	華元食品股份有限公司第二廠	台中市梧棲區草湳里自立二街128號	2021-12-10	2026-12-09	暂停进口
2036	2037	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100034	B-157234801-00000-9	臺中市霧峰區農會	台中市霧峰區四德路10號	2021-12-10	2026-12-09	暂停进口
2037	2038	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100035	B-160258165-00000-2	瑞樂有限公司	台中市南區德富路278號	2021-12-10	2026-12-09	暂停进口
2038	2039	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100036	B-180112344-00000-2	大漢生技股份有限公司	台中市烏日區前竹里仁義街18號1樓	2021-12-10	2026-12-09	有效
2039	2040	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100032	B-155337605-00000-3	臺中市農會	台中市豐原區田心里中山路２３１號	2021-12-10	2026-12-09	暂停进口
2040	2041	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100038	B-200114296-00000-3	莊淑旂養生莊園	台中市北屯區水景里東山路一段１４８號	2021-12-10	2026-12-09	暂停进口
2041	2042	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100039	B-200154289-00000-9	泰睿國際有限公司	台中市西屯區廣福路291-1號	2021-12-10	2026-12-09	暂停进口
2042	2043	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100040	B-200198600-00000-4	廣和愛月姊股份有限公司	台中市北屯區東山路一段148號	2021-12-10	2026-12-09	暂停进口
2043	2044	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100041	D-116480146-00000-1	珍桂生物科技有限公司	台南市中西區保西里中正路108巷13號	2021-12-10	2026-12-09	暂停进口
2044	2045	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100049	D-184999668-00000-0	駿騰國際企業有限公司	台南市仁德區義林二街142號	2021-12-10	2026-12-09	暂停进口
2045	2046	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100043	D-127609181-00001-6	川岳生物科技股份有限公司	台南市仁德區保安里文賢路1段510號	2021-12-10	2026-12-09	有效
2046	2047	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100045	D-153303334-00000-5	品億生物科技有限公司	台南市南區彰南里18鄰新和一路5號	2021-12-10	2026-12-09	有效
2047	2048	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100046	D-153303334-00001-6	品億生物科技有限公司永科廠	台南市永康區王行里永科南路6號	2021-12-10	2026-12-09	暂停进口
2048	2049	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100048	D-153796463-00000-4	依洛嘉國際實業有限公司	台南市學甲區豐和里9鄰美豐67號之46一樓	2021-12-10	2026-12-09	暂停进口
2049	2050	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100042	D-124395622-00000-4	金子宏貿易有限公司	台南市新營區民榮里太子路56號1樓	2021-12-10	2026-12-09	暂停进口
2050	2051	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100050	D-186278150-00001-9	廣吉食品股份有限公司台南廠	台南市仁德區保安里文賢路1段508之35號	2021-12-10	2026-12-09	有效
2051	2052	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100016	A-179995261-00000-6	台灣真弓通商股份有限公司	台北市內湖區內湖路1段91巷35弄40號1樓	2021-12-10	2026-12-09	暂停进口
2052	2053	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100044	D-145893363-00000-2	元利同企業有限公司	台南市安南區安和路4段94巷43弄41號1樓	2021-12-10	2026-12-09	暂停进口
2053	2054	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100074	F-154724312-00001-2	長珍食品有限公司	新北市樹林區東山里東順街82-4號2樓	2021-12-10	2026-12-09	暂停进口
2054	2055	中国台湾	婴幼儿辅助食品	CTWN15032112100012	A-153323486-00000-2	合一食品股份有限公司	新北市新店區寶橋路233之1號地下一層之2	2021-12-10	2026-12-09	暂停进口
2055	2056	中国台湾	未烘焙的可可豆	CTWN14022112100034	F-127504546-00000-6	達淳企業有限公司	新北市三重區中正北路343號(2樓)	2021-12-10	2026-12-09	暂停进口
2056	2057	中国台湾	未烘焙的咖啡豆	CTWN14012112100044	H-197196613-00000-7	公悅企業有限公司	桃園市大園區中正東路一段588號	2021-12-10	2026-12-09	有效
2057	2058	中国台湾	未烘焙的可可豆	CTWN14022112100004	A-129046363-00000-1	聯傑咖啡事業股份有限公司	台北市大安區安和路1段117巷2號4樓	2021-12-10	2026-12-09	暂停进口
2058	2059	中国台湾	特殊医学用途配方食品	CTWN15022112100114	U-195600308-00000-9	富里鄉農會	花蓮縣富里鄉富里村１６鄰中山路１３５號	2021-12-10	2026-12-09	暂停进口
2059	2060	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100088	J-146459107-00000-3	新竹縣農會	新竹縣芎林鄉上山村１０鄰文山路９８９號	2021-12-10	2026-12-09	暂停进口
2060	2061	中国台湾	茶叶类	CTWN21012202100097	22987516	康农行销股份有限公司	彰化县彰化市延和里延和街5号一楼	2022-02-10	2027-02-10	暂停进口
2061	2062	中国台湾	婴幼儿辅助食品	CTWN15032112100043	D-127609181-00001-6	川岳生物科技股份有限公司	台南市仁德區保安里文賢路1段510號	2021-12-10	2026-12-09	有效
2062	2063	中国台湾	婴幼儿辅助食品	CTWN15032112100067	F-127384444-00000-9	盈全國際開發有限公司	新北市永和區中正路556號	2021-12-10	2026-12-09	暂停进口
2063	2064	中国台湾	婴幼儿辅助食品	CTWN15032112100081	H-112964937-00001-7	源富生物科技股份有限公司	桃園市楊梅區水美里民富路1段136巷1號	2021-12-10	2026-12-09	暂停进口
2064	2065	中国台湾	豆基婴幼儿配方食品	CTWN15012112100053	E-117109243-00000-9	聖竑企業行	高雄市三民區遼北街145號1樓	2021-12-10	2026-12-09	暂停进口
2065	2066	中国台湾	豆基婴幼儿配方食品	CTWN15012112100050	D-186278150-00001-9	廣吉食品股份有限公司台南廠	台南市仁德區保安里文賢路1段508之35號	2021-12-10	2026-12-09	有效
2066	2067	中国台湾	豆基婴幼儿配方食品	CTWN15012112100051	D-186278150-00002-0	廣吉食品股份有限公司後壁廠	台南市後壁區菁豊里崩埤1之65號A棟1樓A區、2樓、3樓及B棟、C棟	2021-12-10	2026-12-09	暂停进口
2067	2068	中国台湾	豆基婴幼儿配方食品	CTWN15012112100052	D-186956550-00000-5	統芳生物科技股份有限公司	台南市永康區東橋里中正路279巷2弄55號	2021-12-10	2026-12-09	有效
2068	2069	中国台湾	婴幼儿辅助食品	CTWN15032112100029	B-154263774-00000-7	台灣達欣園有限公司	台中市西屯區文心路二段566之1號3樓之1	2021-12-10	2026-12-09	暂停进口
2069	2070	中国台湾	豆基婴幼儿配方食品	CTWN15012112100022	B-116264386-00013-9	有幾園生物科技股份有限公司	台中市梧棲區草湳里港埠路一段537號	2021-12-10	2026-12-09	暂停进口
2070	2071	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100051	D-186278150-00002-0	廣吉食品股份有限公司後壁廠	台南市後壁區菁豊里崩埤1之65號A棟1樓A區、2樓、3樓及B棟、C棟	2021-12-10	2026-12-09	暂停进口
2071	2072	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100052	D-186956550-00000-5	統芳生物科技股份有限公司	台南市永康區東橋里中正路279巷2弄55號	2021-12-10	2026-12-09	暂停进口
2072	2073	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100053	E-117109243-00000-9	聖竑企業行	高雄市三民區遼北街145號1樓	2021-12-10	2026-12-09	暂停进口
2073	2074	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100054	E-124984851-00000-3	法式珍饌有限公司	高雄市前鎮區中山二路91號10樓之6	2021-12-10	2026-12-09	暂停进口
2074	2075	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100060	E-200022305-00000-5	雅植歐洲香草園商行	高雄市大樹區井腳里108-2號1樓	2021-12-10	2026-12-09	有效
2075	2076	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100056	E-142814226-00000-1	農協開發有限公司	高雄市三民區遼北街145號1樓	2021-12-10	2026-12-09	暂停进口
2076	2077	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100057	E-153259055-00000-6	蔻拉蜜生物科技有限公司	高雄市鹽埕區五福四路140號1樓	2021-12-10	2026-12-09	暂停进口
2077	2078	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100058	E-180374888-00000-8	愛上香茅餐廳有限公司	高雄市左營區大中二路39號	2021-12-10	2026-12-09	暂停进口
2078	2079	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100059	E-180388264-00000-1	廣味香開發有限公司	高雄市仁武區仁武里工業二路17巷68弄11號	2021-12-10	2026-12-09	暂停进口
2079	2080	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100055	E-142791146-00000-6	台灣華康醫藥生技有限公司	台南市永康區中華里小東路689號之21 六樓	2021-12-10	2026-12-09	暂停进口
2080	2081	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100061	F-112713860-00000-1	豐升原食品股份有限公司	新北市新莊區五權三路4號之2	2021-12-10	2026-12-09	暂停进口
2081	2082	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100062	F-112777300-00001-1	奕瑪國際行銷股份有限公司營養生技廠	新北市新莊區福興里五權一路9號7樓之2	2021-12-10	2026-12-09	暂停进口
2082	2083	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100064	F-123130552-00000-4	一語堂國際貿易有限公司	新北市林口區工九路1號	2021-12-10	2026-12-09	暂停进口
2083	2084	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100065	F-124531823-00000-1	馥鴻貿易有限公司	新北市板橋區公園街22號14樓	2021-12-10	2026-12-09	暂停进口
2084	2085	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100071	F-153679161-00001-2	鮮機食品生技股份有限公司林口廠	新北市林口區東林里粉寮路2段20號	2021-12-10	2026-12-09	暂停进口
2085	2086	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100067	F-127384444-00000-9	盈全國際開發有限公司	新北市永和區中正路556號	2021-12-10	2026-12-09	暂停进口
2086	2087	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100068	F-129092008-00000-3	豐爾富企業有限公司	新北市板橋區南雅東路8號8樓之10	2021-12-10	2026-12-09	暂停进口
2087	2088	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100069	F-138045604-00001-4	新北市坪林區農會(茶產品加工場)	新北市坪林區坪林里坪林路102號	2021-12-10	2026-12-09	暂停进口
2088	2089	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100070	F-147086204-00000-4	米大師美食國際有限公司	新北市林口區粉寮路2段20號	2021-12-10	2026-12-09	暂停进口
2089	2090	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100066	F-124730415-00000-9	史迪威生物科技股份有限公司	台北市內湖區港墘路221巷33號8樓	2021-12-10	2026-12-09	暂停进口
2090	2091	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100072	F-153686070-00000-8	金門海峽開發股份有限公司	新北市永和區中和路451號2樓	2021-12-10	2026-12-09	暂停进口
2091	2092	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100073	F-154039880-00001-1	寶耕生技股份有限公司	新北市中和區中原里立德街148巷38號、40號3樓	2021-12-10	2022-07-19	注销
2092	2093	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100075	F-168720907-00000-2	鴻禎有限公司	新北市板橋區公園街24號14樓	2021-12-10	2026-12-09	暂停进口
2093	2094	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100076	F-180551862-00000-8	重鵬生技股份有限公司	新北市中和區連城路258號4樓之7	2021-12-10	2026-12-09	暂停进口
2094	2095	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100082	H-127921042-00000-2	益優國際有限公司	桃園市中壢區仁美里中山東路三段165巷34弄19號4樓	2021-12-10	2026-12-09	有效
2095	2096	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100078	F-186143822-00000-7	立萬利創新股份有限公司	新北市中和區連城路258號4樓	2021-12-10	2026-12-09	暂停进口
2096	2097	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100079	F-191034556-00001-7	昌農有限公司	新北市土城區日和里中華路1段152號4樓	2021-12-10	2026-12-09	有效
2097	2098	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100080	G-128345906-00002-3	拜寧騰能生技股份有限公司宜蘭二廠	宜蘭縣宜蘭市梅洲里梅洲一路22號	2021-12-10	2026-12-09	有效
2098	2099	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100081	H-112964937-00001-7	源富生物科技股份有限公司	桃園市楊梅區水美里民富路1段136巷1號	2021-12-10	2026-12-09	有效
2099	2100	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100077	F-184891060-00001-0	葆祥實業有限公司	新北市鶯歌區二橋里中正三路491巷8號	2021-12-10	2026-12-09	有效
2100	2101	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012202100025	P-138779275-00000-1	保證責任雲林縣瓊埔合作農場	云林县水林乡琼埔路88号	2022-02-10	2027-02-10	有效
2101	2102	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100085	I-116249695-00000-8	卜臣有限公司	嘉義市東區義教里義教街706巷16-2號1樓	2021-12-10	2026-12-09	暂停进口
2102	2103	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100086	I-142569743-00000-6	上禾家生物科技有限公司	嘉義市東區義教里義教街706巷16-2號1樓	2021-12-10	2026-12-09	暂停进口
2103	2104	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100087	I-142978774-00000-4	果守食品有限公司	嘉義市西區湖內里健康十六街62號1樓	2021-12-10	2026-12-09	暂停进口
2104	2105	中国台湾	豆基婴幼儿配方食品	CTWN15012112100058	E-180374888-00000-8	愛上香茅餐廳有限公司	高雄市左營區大中二路39號	2021-12-10	2026-12-09	暂停进口
2105	2106	中国台湾	其它（辅食营养补充品、运动营养食品等）	CTWN15042112100084	H-186177651-00001-7	元大食品企業股份有限公司南崁廠	桃園市蘆竹區錦中里南崁路一段二三一巷一六號	2021-12-10	2026-12-09	有效
2106	2107	中国台湾	豆基婴幼儿配方食品	CTWN15012112100055	E-142791146-00000-6	台灣華康醫藥生技有限公司	台南市永康區中華里小東路689號之21 六樓	2021-12-10	2026-12-09	暂停进口
2107	2108	中国台湾	豆基婴幼儿配方食品	CTWN15012112100056	E-142814226-00000-1	農協開發有限公司	高雄市三民區遼北街145號1樓	2021-12-10	2026-12-09	暂停进口
2108	2109	中国台湾	豆基婴幼儿配方食品	CTWN15012112100057	E-153259055-00000-6	蔻拉蜜生物科技有限公司	高雄市鹽埕區五福四路140號1樓	2021-12-10	2026-12-09	暂停进口
2109	2110	中国台湾	豆基婴幼儿配方食品	CTWN15012112100054	E-124984851-00000-3	法式珍饌有限公司	高雄市前鎮區中山二路91號10樓之6	2021-12-10	2026-12-09	暂停进口
2110	2111	中国台湾	豆基婴幼儿配方食品	CTWN15012112100059	E-180388264-00000-1	廣味香開發有限公司	高雄市仁武區仁武里工業二路17巷68弄11號	2021-12-10	2026-12-09	暂停进口
2111	2112	中国台湾	豆基婴幼儿配方食品	CTWN15012112100060	E-200022305-00000-5	雅植歐洲香草園商行	高雄市大樹區井腳里108-2號1樓	2021-12-10	2026-12-09	有效
2112	2113	中国台湾	豆基婴幼儿配方食品	CTWN15012112100061	F-112713860-00000-1	豐升原食品股份有限公司	新北市新莊區五權三路4號之2	2021-12-10	2026-12-09	暂停进口
2113	2114	中国台湾	豆基婴幼儿配方食品	CTWN15012112100062	F-112777300-00001-1	奕瑪國際行銷股份有限公司營養生技廠	新北市新莊區福興里五權一路9號7樓之2	2021-12-10	2026-12-09	暂停进口
2114	2115	中国台湾	豆基婴幼儿配方食品	CTWN15012112100070	F-147086204-00000-4	米大師美食國際有限公司	新北市林口區粉寮路2段20號	2021-12-10	2026-12-09	暂停进口
2115	2116	中国台湾	豆基婴幼儿配方食品	CTWN15012112100064	F-123130552-00000-4	一語堂國際貿易有限公司	新北市林口區工九路1號	2021-12-10	2026-12-09	暂停进口
2116	2117	中国台湾	豆基婴幼儿配方食品	CTWN15012112100065	F-124531823-00000-1	馥鴻貿易有限公司	新北市板橋區公園街22號14樓	2021-12-10	2026-12-09	暂停进口
2117	2118	中国台湾	豆基婴幼儿配方食品	CTWN15012112100066	F-124730415-00000-9	史迪威生物科技股份有限公司	台北市內湖區港墘路221巷33號8樓	2021-12-10	2026-12-09	暂停进口
2118	2119	中国台湾	豆基婴幼儿配方食品	CTWN15012112100069	F-138045604-00001-4	新北市坪林區農會(茶產品加工場)	新北市坪林區坪林里坪林路102號	2021-12-10	2026-12-09	暂停进口
2119	2120	中国台湾	豆基婴幼儿配方食品	CTWN15012112100063	F-116753096-00089-7	長庚生物科技股份有限公司明志廠	新北市泰山區貴子里南泰路一號	2021-12-10	2026-12-09	有效
2120	2121	中国台湾	豆基婴幼儿配方食品	CTWN15012112100071	F-153679161-00001-2	鮮機食品生技股份有限公司林口廠	新北市林口區東林里粉寮路2段20號	2021-12-10	2026-12-09	暂停进口
2121	2122	中国台湾	豆基婴幼儿配方食品	CTWN15012112100072	F-153686070-00000-8	金門海峽開發股份有限公司	新北市永和區中和路451號2樓	2021-12-10	2026-12-09	暂停进口
2122	2123	中国台湾	豆基婴幼儿配方食品	CTWN15012112100073	F-154039880-00001-1	寶耕生技股份有限公司	新北市中和區中原里立德街148巷38號、40號3樓	2021-12-10	2022-07-19	注销
